c_id,total_energy_generation (kWh),total_tripping_curtailment (kWh),count curtailment (days),total days (days),percentage_of_generation_lost,proportion of days with curtailment,proportion_of_sites
1145410040,3226.5984687705954,14.80846709206484,60,243,0.4589497960589806,24.69135802469136,11.244979919678714
1268828391,6235.359107442502,26.522342084481306,63,243,0.425353883031762,25.925925925925924,11.44578313253012
400142431,2942.260247055174,12.31503293330327,33,243,0.4185568882164329,13.580246913580249,11.646586345381527
1171914822,4671.831865211922,19.084384821479546,72,243,0.4084989651187681,29.629629629629623,11.847389558232932
1658280060,6533.641338810524,26.30324346884685,48,243,0.4025816861510716,19.753086419753085,12.048192771084338
32497732,6443.677322015149,23.1248724267027,61,243,0.35887694667291,25.102880658436217,12.248995983935743
1368323443,6488.113372990122,22.49495796122544,88,243,0.3467103095773799,36.21399176954733,12.449799196787147
981759734,6033.659028688467,20.62247059671728,69,243,0.3417904541616097,28.39506172839506,12.650602409638553
1911428877,6915.171021441777,23.549114181531674,71,243,0.3405427589355817,29.21810699588477,12.851405622489958
614770329,5242.353877908897,17.346434803393457,43,243,0.3308901918371201,17.695473251028808,13.052208835341366
1100917111,2496.960868268729,8.106739486678324,65,243,0.3246642584470753,26.74897119341564,13.253012048192772
2072941613,3085.764354962362,9.961887064171515,84,243,0.3228336942887858,34.5679012345679,13.453815261044177
192792497,4125.244746646544,12.748633310786268,47,243,0.3090394411422442,19.34156378600823,13.654618473895583
957650704,3510.4672104452884,9.969355357852177,128,243,0.2839894167986718,52.674897119341566,13.855421686746988
2020330076,5877.490001777637,16.623231391392046,70,243,0.2828287480942439,28.80658436213992,14.056224899598394
977227615,7259.3561964872015,19.80416003799744,33,243,0.2728087657081858,13.580246913580249,14.257028112449799
1883049647,6159.497932209657,16.579153264824665,48,243,0.2691640365382355,19.753086419753085,14.457831325301203
188647262,6377.399265296883,16.564995578617477,76,243,0.2597453113647313,31.27572016460905,14.65863453815261
656226721,3618.120458106206,9.38298026076952,32,243,0.2593329981523267,13.168724279835391,14.859437751004014
1828350524,5496.944044657279,14.206006967208198,47,243,0.2584346293467484,19.34156378600823,15.060240963855422
1754502986,3354.543167359144,8.341390489073621,33,243,0.2486595066129485,13.580246913580249,15.261044176706829
851913431,3138.6987443660096,7.582542077529065,81,243,0.2415823465421711,33.33333333333333,15.461847389558233
317767350,5403.018158992521,13.044809088336168,55,243,0.2414355958923628,22.63374485596708,15.66265060240964
655131985,4799.630176908616,10.735847959721896,32,243,0.2236807329734043,13.168724279835391,15.863453815261044
362641176,6796.938211846048,14.99614247680234,53,243,0.2206308489117394,21.81069958847737,16.06425702811245
275184016,5836.025315858903,12.564282779216372,77,243,0.2152883529321574,31.68724279835391,16.265060240963855
1733245313,1878.5492500965763,3.857648348438756,59,243,0.2053525265968104,24.279835390946506,16.46586345381526
736617838,6720.11443132425,13.716973529583582,44,243,0.2041181540844766,18.106995884773664,16.666666666666664
1290589657,5427.435540545104,11.0562972935307,69,243,0.2037112594140595,28.39506172839506,16.867469879518072
1004910241,5746.158981511989,11.477623395258512,51,243,0.1997442714722522,20.98765432098765,17.06827309236948
982512371,6457.686354756726,12.853350166711444,34,243,0.1990395547353221,13.991769547325102,17.269076305220885
356902470,5726.961323798027,10.914666446938863,36,243,0.1905839035717537,14.814814814814811,17.46987951807229
2143196688,5390.053949097646,9.965058525247288,78,243,0.1848786416491349,32.098765432098766,17.670682730923694
825500746,5361.786459601813,9.50255514790847,44,243,0.1772274076840831,18.106995884773664,17.8714859437751
1551349304,6113.580807146671,10.691866725373858,80,243,0.1748871416384199,32.92181069958848,18.072289156626507
1814154495,4720.557611552405,8.251058489197622,33,243,0.1747899118740799,13.580246913580249,18.27309236947791
1580745757,5445.674286638167,9.48231050161132,54,243,0.1741255536504944,22.22222222222222,18.473895582329316
728603657,3403.553691437982,5.822097299818832,40,243,0.171059364054252,16.46090534979424,18.67469879518072
1065938166,5641.816259990376,9.197713329934883,76,243,0.163027523515106,31.27572016460905,18.87550200803213
1700492033,3953.9269531767527,6.226221541400599,37,243,0.15746931127289,15.22633744855967,19.076305220883537
325649316,10625.287580748278,16.608454080748977,55,243,0.156310631166741,22.63374485596708,19.27710843373494
714546223,1753.2604819929786,2.6256852483465605,42,243,0.1497601340652971,17.28395061728395,19.477911646586346
134896412,6727.480159048163,10.031972631139023,57,243,0.1491193194772409,23.456790123456788,19.67871485943775
1618080873,5112.880501119489,7.282193844199187,45,243,0.1424283990718092,18.51851851851852,19.879518072289155
226534958,5403.149504111352,7.565655514060177,67,243,0.1400230644793992,27.572016460905356,20.080321285140563
515338333,5602.193215208822,7.704032212898383,37,243,0.1375181454288919,15.22633744855967,20.281124497991968
1823883062,5982.776357805663,8.20718744164759,41,243,0.1371802479452497,16.872427983539097,20.481927710843372
1421859171,4451.166442408909,5.806050567453781,65,243,0.130438855580328,26.74897119341564,20.682730923694777
1568818341,5875.248250356249,7.599918086996201,46,243,0.1293548419257922,18.93004115226337,20.883534136546185
1822597721,4912.063753433064,6.275317076098277,77,243,0.1277531683442103,31.68724279835391,21.084337349397593
680721840,5520.380145642071,6.944116720507294,58,243,0.1257905531377066,23.868312757201647,21.285140562248998
1917897599,4673.741001507133,5.705218427717106,78,243,0.1220696317120986,32.098765432098766,21.485943775100402
766168531,6808.522929728099,8.251224176572462,54,243,0.1211896363092953,22.22222222222222,21.686746987951807
1902465915,4822.660325194146,5.740800869435482,56,243,0.1190380512482884,23.045267489711936,21.88755020080321
772730731,6014.406887559463,6.766074475369552,49,243,0.1124977841017853,20.16460905349794,22.08835341365462
166614887,5411.507757539281,5.9967099442278124,67,243,0.110814032112829,27.572016460905356,22.289156626506024
1535186035,5357.911298092101,5.654856615608829,47,243,0.1055421842765942,19.34156378600823,22.48995983935743
1852726957,5574.826320367764,5.877447974944355,74,243,0.1054283602248011,30.45267489711934,22.690763052208833
1266446943,5732.180059164516,5.680088665716593,57,243,0.0990912463860125,23.456790123456788,22.89156626506024
1754924776,5239.402105809657,5.089425380265984,64,243,0.0971375221348754,26.337448559670783,23.09236947791165
479810032,4034.502136421331,3.893775006034063,66,243,0.0965119083934332,27.160493827160494,23.293172690763054
920290771,6590.157063990011,5.866808835176596,58,243,0.0890238089655565,23.868312757201647,23.49397590361446
1027250881,7328.486724641571,6.38233769293964,36,243,0.0870894351419022,14.814814814814811,23.694779116465863
2102460517,5472.462953612217,4.718530895994647,37,243,0.086223167447485,15.22633744855967,23.895582329317268
933065889,7876.037335880201,6.6766716091410645,40,243,0.0847719649413635,16.46090534979424,24.096385542168676
122516627,5193.777993817008,4.40097697608176,71,243,0.0847355620767956,29.21810699588477,24.29718875502008
929158790,5975.471783959803,5.058778891441183,58,243,0.0846590708539644,23.868312757201647,24.497991967871485
141138839,4630.998416964172,3.914938517216246,60,243,0.0845376777257174,24.69135802469136,24.69879518072289
823271537,6591.461436308388,5.527734552923598,65,243,0.0838620479894586,26.74897119341564,24.899598393574294
1722389076,3001.550327085183,2.467983251429745,130,243,0.0822236172140552,53.49794238683128,25.100401606425706
1254003935,8233.012255771482,6.585070746128993,41,243,0.079983735497451,16.872427983539097,25.301204819277107
1487396633,7443.663784765501,5.844051205994908,50,243,0.0785104133525694,20.5761316872428,25.502008032128515
321776296,4052.67935959379,3.067478981738559,123,243,0.0756901474200519,50.617283950617285,25.702811244979916
310394396,4439.286930891323,3.279610081172824,61,243,0.0738769566425466,25.102880658436217,25.903614457831324
1864193631,5543.325178593108,4.061009597148274,74,243,0.0732594510751569,30.45267489711934,26.104417670682732
1093529952,3966.6796587972567,2.8702051412283547,49,243,0.072357875808369,20.16460905349794,26.305220883534137
8366267,5842.488105205952,4.200082666051958,49,243,0.071888595927298,20.16460905349794,26.506024096385545
1790088427,6516.5308512496695,4.6135255488324445,51,243,0.0707972639759345,20.98765432098765,26.706827309236946
633166515,5425.799672256867,3.823258964447448,55,243,0.07046443280972,22.63374485596708,26.907630522088354
1645355415,5408.666740554842,3.748956619985508,47,243,0.0693138771497118,19.34156378600823,27.10843373493976
552691752,3720.8491509330206,2.524194273429584,29,243,0.0678391993611627,11.934156378600823,27.309236947791167
433152057,9887.575139058788,6.670594030920356,45,243,0.0674644079777414,18.51851851851852,27.510040160642568
105687914,4667.535740075678,3.138965935154292,45,243,0.0672510315926021,18.51851851851852,27.710843373493976
1002568637,4362.704862023201,2.8707158421097407,47,243,0.0658012845906438,19.34156378600823,27.91164658634538
1713456246,5494.265628363247,3.576880650135069,53,243,0.0651020699048478,21.81069958847737,28.11244979919679
1337085637,4434.159187825569,2.880666141373577,47,243,0.0649653298258379,19.34156378600823,28.313253012048197
511253175,5309.914903635872,3.390387291248996,68,243,0.0638501247718204,27.983539094650205,28.514056224899598
